Month,Female,Male
2010-01-01,1366.0,2155.0
2010-02-01,1254.0,2030.0
2010-03-01,1399.0,2211.0
2010-04-01,1358.0,2009.0
2010-05-01,1362.0,2110.0
2010-06-01,1240.0,1998.0
2010-07-01,1345.0,2031.0
2010-08-01,1275.0,2051.0
2010-09-01,1263.0,1948.0
2010-10-01,1302.0,2038.0
2010-11-01,1329.0,1993.0
2010-12-01,1363.0,2126.0
2011-01-01,1440.0,2292.0
2011-02-01,1409.0,2257.0
2011-03-01,1522.0,2284.0
2011-04-01,1463.0,2206.0
2011-05-01,1454.0,2274.0
2011-06-01,1273.0,2106.0
2011-07-01,1411.0,2314.0
2011-08-01,1378.0,2209.0
2011-09-01,1347.0,2132.0
2011-10-01,1415.0,2171.0
2011-11-01,1364.0,2233.0
2011-12-01,1415.0,2255.0
2012-01-01,1498.0,2292.0
2012-02-01,1436.0,2223.0
2012-03-01,1437.0,2325.0
2012-04-01,1374.0,2120.0
2012-05-01,1428.0,2172.0
2012-06-01,1421.0,2286.0
2012-07-01,1415.0,2284.0
2012-08-01,1411.0,2329.0
2012-09-01,1351.0,2195.0
2012-10-01,1401.0,2187.0
2012-11-01,1369.0,2102.0
2012-12-01,1396.0,2335.0
2013-01-01,1562.0,2482.0
2013-02-01,1493.0,2262.0
2013-03-01,1605.0,2509.0
2013-04-01,1484.0,2349.0
2013-05-01,1437.0,2433.0
2013-06-01,1480.0,2392.0
2013-07-01,1496.0,2354.0
2013-08-01,1489.0,2367.0
2013-09-01,1392.0,2260.0
2013-10-01,1439.0,2251.0
2013-11-01,1366.0,2431.0
2013-12-01,1533.0,2458.0
2014-01-01,1684.0,2622.0
2014-02-01,1607.0,2487.0
2014-03-01,1723.0,2611.0
2014-04-01,1485.0,2444.0
2014-05-01,1614.0,2499.0
2014-06-01,1460.0,2488.0
2014-07-01,1489.0,2606.0
2014-08-01,1516.0,2643.0
2014-09-01,1475.0,2418.0
2014-10-01,1625.0,2569.0
2014-11-01,1557.0,2581.0
2014-12-01,1568.0,2663.0
2015-01-01,1693.0,2916.0
2015-02-01,1599.0,2724.0
2015-03-01,1831.0,2994.0
2015-04-01,1653.0,2809.0
2015-05-01,1708.0,2934.0
2015-06-01,1568.0,2801.0
2015-07-01,1720.0,2952.0
2015-08-01,1714.0,2947.0
2015-09-01,1669.0,2986.0
2015-10-01,1710.0,3006.0
2015-11-01,1598.0,2779.0
2015-12-01,1610.0,2874.0
2016-01-01,1752.0,3159.0
2016-02-01,1812.0,3406.0
2016-03-01,2042.0,3717.0
2016-04-01,1934.0,3522.0
2016-05-01,1833.0,3526.0
2016-06-01,1844.0,3461.0
2016-07-01,1954.0,3815.0
2016-08-01,1872.0,3693.0
2016-09-01,1808.0,3559.0
2016-10-01,1895.0,3738.0
2016-11-01,1878.0,3786.0
2016-12-01,2041.0,4041.0
2017-01-01,2176.0,4329.0
2017-02-01,1958.0,3855.0
2017-03-01,2203.0,4176.0
2017-04-01,2081.0,4010.0
2017-05-01,2045.0,4174.0
2017-06-01,2010.0,4042.0
2017-07-01,2058.0,4047.0
2017-08-01,1998.0,4032.0
2017-09-01,1924.0,4045.0
2017-10-01,1900.0,3807.0
2017-11-01,1900.0,3781.0
2017-12-01,2038.0,4014.0
2018-01-01,1980.0,3924.0
2018-02-01,1888.0,3538.0
2018-03-01,1955.0,4050.0
2018-04-01,1969.0,3797.0
2018-05-01,1919.0,4027.0
2018-06-01,1946.0,4035.0
2018-07-01,2046.0,4058.0
2018-08-01,1983.0,4008.0
2018-09-01,1851.0,3819.0
2018-10-01,1855.0,3854.0
2018-11-01,1748.0,3668.0
2018-12-01,1867.0,3926.0
